Apex_RT,ID,Peak,Area,file
15.5,SPMEn99,33,41130367.701,201103
15.62,SPMEn99,34,3428689.085,201103
15.88,SPMEn99,35,761160.803,201103
16.69,SPMEn99,38,3310413.285,201103
16.88,SPMEn99,39,68499449.651,201103
18.01,SPMEn99,43,420956.873,201103
19.1,SPMEn99,45,5069270.802,201103
20.9,SPMEn99,46,262466.856,201103
22.11,SPMEn99,47,1859365.511,201103
22.82,SPMEn99,48,12836348.492,201103
11.04,SPMEn100,11,97479.099,201103
15.1,SPMEn100,31,312295.61,201103
